Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): United States","User acquisition (All users, All events, Per interval, Daily): India","User acquisition (All users, All events, Per interval, Daily): Australia",Notes
"Dec 8, 2020",0,0,0,0,
"Dec 9, 2020",0,0,0,0,
"Dec 10, 2020",1,1,0,0,
"Dec 11, 2020",1,1,0,0,
"Dec 12, 2020",1,1,0,0,
"Dec 13, 2020",1,1,0,0,
"Dec 14, 2020",0,0,0,0,
"Dec 15, 2020",1,1,0,0,
"Dec 16, 2020",0,0,0,0,
"Dec 17, 2020",1,1,0,0,
"Dec 18, 2020",0,0,0,0,
"Dec 19, 2020",4,4,0,0,
"Dec 20, 2020",0,0,0,0,
"Dec 21, 2020",1,1,0,0,
"Dec 22, 2020",1,1,0,0,
"Dec 23, 2020",1,1,0,0,
"Dec 24, 2020",0,0,0,0,
"Dec 25, 2020",0,0,0,0,
"Dec 26, 2020",2,1,0,0,
"Dec 27, 2020",2,2,0,0,
"Dec 28, 2020",1,1,0,0,
"Dec 29, 2020",9,9,0,0,
"Dec 30, 2020",5,5,0,0,
"Dec 31, 2020",10,10,0,0,
"Jan 1, 2021",11,11,0,0,
"Jan 2, 2021",4,4,0,0,
"Jan 3, 2021",2,2,0,0,
"Jan 4, 2021",3,3,0,0,
"Jan 5, 2021",6,6,0,0,
"Jan 6, 2021",1,1,0,0,
"Jan 7, 2021",1,1,0,0,
"Jan 8, 2021",1,1,0,0,
"Jan 9, 2021",1,1,0,0,
"Jan 10, 2021",2,2,0,0,
"Jan 11, 2021",5,5,0,0,
"Jan 12, 2021",2,2,0,0,
"Jan 13, 2021",0,0,0,0,
"Jan 14, 2021",1,1,0,0,
"Jan 15, 2021",1,1,0,0,
"Jan 16, 2021",3,3,0,0,
"Jan 17, 2021",2,2,0,0,
"Jan 18, 2021",2,2,0,0,
"Jan 19, 2021",0,0,0,0,
"Jan 20, 2021",1,1,0,0,
"Jan 21, 2021",1,1,0,0,
"Jan 22, 2021",1,1,0,0,
"Jan 23, 2021",2,2,0,0,
"Jan 24, 2021",1,1,0,0,
"Jan 25, 2021",0,0,0,0,
"Jan 26, 2021",3,3,0,0,
"Jan 27, 2021",0,0,0,0,
"Jan 28, 2021",2,2,0,0,
"Jan 29, 2021",9,9,0,0,
"Jan 30, 2021",1,1,0,0,
"Jan 31, 2021",1,0,0,0,
"Feb 1, 2021",0,0,0,0,
"Feb 2, 2021",3,3,0,0,
"Feb 3, 2021",1,1,0,0,
"Feb 4, 2021",2,2,0,0,
"Feb 5, 2021",5,5,0,0,
"Feb 6, 2021",5,5,0,0,
"Feb 7, 2021",5,5,0,0,
"Feb 8, 2021",5,5,0,0,
"Feb 9, 2021",1,1,0,0,
"Feb 10, 2021",3,3,0,0,
"Feb 11, 2021",1,1,0,0,
"Feb 12, 2021",2,2,0,0,
"Feb 13, 2021",1,1,0,0,
"Feb 14, 2021",3,3,0,0,
"Feb 15, 2021",3,3,0,0,
"Feb 16, 2021",2,2,0,0,
"Feb 17, 2021",0,0,0,0,
"Feb 18, 2021",1,1,0,0,
"Feb 19, 2021",1,1,0,0,
"Feb 20, 2021",4,4,0,0,
"Feb 21, 2021",1,1,0,0,
"Feb 22, 2021",2,2,0,0,
"Feb 23, 2021",2,2,0,0,
"Feb 24, 2021",0,0,0,0,
"Feb 25, 2021",3,3,0,0,Metric update: An issue with data may result in over-reporting installs for this period. This did not affect your actual install performance.
